time,theta
0.000,1.5708005267708967
0.001,1.5708131266028982
0.002,1.5708341261469037
0.003,1.5708635252589154
0.004,1.5709013237949314
0.005,1.5709475216109416
0.006,1.571002118562921
0.007,1.571065114506822
0.008,1.5711365092985659
0.009,1.571216302794033
0.010,1.5713044948490502
0.011,1.5714010853193792
0.012,1.5715060740607005
0.013,1.5716194609285998
0.014,1.5717412457785493
0.015,1.5718714284658901
0.016,1.5720100088458122
0.017,1.5721569867733336
0.018,1.5723123621032773
0.019,1.5724761346902485
0.020,1.572648304388608
0.021,1.5728288710524467
0.022,1.5730178345355577
0.023,1.573215194691406
0.024,1.5734209513730988
0.025,1.5736351044333532
0.026,1.5738576537244628
0.027,1.574088599098263
0.028,1.5743279404060946
0.029,1.574575677498767
0.030,1.5748318102265184
0.031,1.575096338438977
0.032,1.5753692619851176
0.033,1.5756505807132208
0.034,1.575940294470827
0.035,1.5762384031046912
0.036,1.5765449064607369
0.037,1.5768598043840065
0.038,1.5771830967186127
0.039,1.5775147833076861
0.040,1.5778548639933239
0.041,1.5782033386165355
0.042,1.5785602070171878
0.043,1.5789254690339483
0.044,1.579299124504227
0.045,1.5796811732641174
0.046,1.5800716151483363
0.047,1.5804704499901612
0.048,1.580877677621367
0.049,1.5812932978721617
0.050,1.5817173105711198
0.051,1.5821497155451152
0.052,1.5825905126192525
0.053,1.5830397016167965
0.054,1.5834972823591011
0.055,1.583963254665536
0.056,1.5844376183534123
0.057,1.584920373237908
0.058,1.5854115191319895
0.059,1.5859110558463343
0.060,1.5864189831892508
0.061,1.5869353009665976
0.062,1.587460008981701
0.063,1.5879931070352709
0.064,1.5885345949253156
0.065,1.589084472447056
0.066,1.5896427393928374
0.067,1.5902093955520396
0.068,1.5907844407109868
0.069,1.591367874652856
0.070,1.5919596971575827
0.071,1.5925599080017674
0.072,1.5931685069585786
0.073,1.5937854937976557
0.074,1.59441086828501
0.075,1.5950446301829249
0.076,1.5956867792498541
0.077,1.5963373152403189
0.078,1.5969962379048035
0.079,1.59766354698965
0.080,1.5983392422369513
0.081,1.599023323384442
0.082,1.5997157901653893
0.083,1.6004166423084825
0.084,1.6011258795377188
0.085,1.6018435015722914
0.086,1.6025695081264733
0.087,1.6033038989095003
0.088,1.6040466736254544
0.089,1.6047978319731433
0.090,1.6055573736459805
0.091,1.6063252983318625
0.092,1.6071016057130463
0.093,1.607886295466024
0.094,1.6086793672613968
0.095,1.6094808207637474
0.096,1.6102906556315113
0.097,1.6111088715168467
0.098,1.6119354680655023
0.099,1.6127704449166846
0.100,1.6136138017029238
0.101,1.6144655380499378
0.102,1.6153256535764948
0.103,1.6161941478942754
0.104,1.6170710206077321
0.105,1.6179562713139486
0.106,1.618849899602497
0.107,1.6197519050552935
0.108,1.6206622872464536
0.109,1.6215810457421447
0.110,1.6225081801004384
0.111,1.623443689871161
0.112,1.6243875745957426
0.113,1.6253398338070644
0.114,1.6263004670293055
0.115,1.6272694737777882
0.116,1.6282468535588208
0.117,1.62923260586954
0.118,1.6302267301977524
0.119,1.6312292260217731
0.120,1.632240092810264
0.121,1.633259330022071
0.122,1.6342869371060587
0.123,1.6353229135009444
0.124,1.6363672586351306
0.125,1.6374199719265365
0.126,1.6384810527824274
0.127,1.639550500599243
0.128,1.6406283147624245
0.129,1.64171449464624
0.130,1.6428090396136092
0.131,1.6439119490159253
0.132,1.645023222192877
0.133,1.6461428584722688
0.134,1.6472708571698385
0.135,1.6484072175890754
0.136,1.6495519390210356
0.137,1.6507050207441565
0.138,1.6518664620240702
0.139,1.653036262113414
0.140,1.654214420251642
0.141,1.6554009356648327
0.142,1.6565958075654972
0.143,1.6577990351523846
0.144,1.6590106176102868
0.145,1.6602305541098417
0.146,1.661458843807335
0.147,1.6626954858445002
0.148,1.6639404793483181
0.149,1.6651938234308135
0.150,1.666455517188852
0.151,1.6677255597039344
0.152,1.6690039500419898
0.153,1.6702906872531678
0.154,1.6715857703716284
0.155,1.6728891984153316
0.156,1.6742009703858245
0.157,1.6755210852680276
0.158,1.6768495420300191
0.159,1.6781863396228194
0.160,1.6795314769801712
0.161,1.6808849530183214
0.162,1.6822467666357992
0.163,1.6836169167131942
0.164,1.684995402112932
0.165,1.6863822216790494
0.166,1.6877773742369668
0.167,1.6891808585932613
0.168,1.6905926735354355
0.169,1.6920128178316878
0.170,1.6934412902306786
0.171,1.6948780894612974
0.172,1.6963232142324265
0.173,1.6977766632327045
0.174,1.6992384351302878
0.175,1.700708528572611
0.176,1.7021869421861449
0.177,1.703673674576155
0.178,1.705168724326456
0.179,1.706672089999167
0.180,1.7081837701344638
0.181,1.7097037632503305
0.182,1.7112320678423096
0.183,1.7127686823832502
0.184,1.714313605323055
0.185,1.7158668350884256
0.186,1.717428370082607
0.187,1.7189982086851294
0.188,1.72057634925155
0.189,1.7221627901131917
0.190,1.723757529576882
0.191,1.7253605659246893
0.192,1.7269718974136572
0.193,1.7285915222755392
0.194,1.7302194387165302
0.195,1.7318556449169968
0.196,1.7335001390312073
0.197,1.7351529191870578
0.198,1.7368139834857999
0.199,1.7384833300017637
0.200,1.7401609567820822
0.201,1.7418468618464116
0.202,1.7435410431866518
0.203,1.7452434987666654
0.204,1.7469542265219937
0.205,1.7486732243595726
0.206,1.7504004901574464
0.207,1.7521360217644801
0.208,1.7538798170000707
0.209,1.7556318736538554
0.210,1.7573921894854208
0.211,1.7591607622240075
0.212,1.7609375895682162
0.213,1.7627226691857099
0.214,1.7645159987129155
0.215,1.766317575754725
0.216,1.7681273978841918
0.217,1.76994546264223
0.218,1.7717717675373077
0.219,1.773606310045142
0.220,1.775449087608391
0.221,1.7773000976363444
0.222,1.7791593375046122
0.223,1.7810268045548125
0.224,1.7829024960942579
0.225,1.7847864093956392
0.226,1.7866785416967084
0.227,1.78857889019996
0.228,1.7904874520723106
0.229,1.7924042244447769
0.230,1.794329204412152
0.231,1.7962623890326805
0.232,1.7982037753277318
0.233,1.8001533602814714
0.234,1.8021111408405315
0.235,1.8040771139136789
0.236,1.8060512763714824
0.237,1.8080336250459779
0.238,1.8100241567303317
0.239,1.812022868178503
0.240,1.8140297561049046
0.241,1.8160448171840609
0.242,1.8180680480502656
0.243,1.8200994452972374
0.244,1.8221390054777742
0.245,1.8241867251034047
0.246,1.8262426006440398
0.247,1.8283066285276215
0.248,1.8303788051397707
0.249,1.8324591268234325
0.250,1.834547589878521
0.251,1.8366441905615618
0.252,1.8387489250853328
0.253,1.8408617896185038
0.254,1.842982780285274
0.255,1.8451118931650088
0.256,1.847249124291873
0.257,1.8493944696544646
0.258,1.851547925195446
0.259,1.8537094868111734
0.260,1.8558791503513243
0.261,1.8580569116185246
0.262,1.8602427663679726
0.263,1.8624367103070623
0.264,1.8646387390950048
0.265,1.8668488483424481
0.266,1.869067033611095
0.267,1.87129329041332
0.268,1.8735276142117834
0.269,1.8757700004190452
0.270,1.8780204443971762
0.271,1.8802789414573686
0.272,1.8825454868595435
0.273,1.8848200758119578
0.274,1.8871027034708097
0.275,1.8893933649398416
0.276,1.8916920552699419
0.277,1.8939987694587455
0.278,1.8963135024502318
0.279,1.8986362491343223
0.280,1.9009670043464753
0.281,1.9033057628672796
0.282,1.9056525194220468
0.283,1.9080072686804017
0.284,1.9103700052558712
0.285,1.912740723705471
0.286,1.9151194185292917
0.287,1.9175060841700826
0.288,1.9199007150128344
0.289,1.92230330538436
0.290,1.9247138495528728
0.291,1.927132341727566
0.292,1.9295587760581874
0.293,1.931993146634614
0.294,1.9344354474864258
0.295,1.936885672582476
0.296,1.9393438158304617
0.297,1.9418098710764917
0.298,1.9442838321046538
0.299,1.9467656926365788
0.300,1.9492554463310057
0.301,1.9517530867833421
0.302,1.9542586075252266
0.303,1.9567720020240864
0.304,1.9592932636826959
0.305,1.9618223858387318
0.306,1.964359361764329
0.307,1.9669041846656323
0.308,1.9694568476823495
0.309,1.9720173438873005
0.310,1.9745856662859669
0.311,1.9771618078160385
0.312,1.9797457613469598
0.313,1.9823375196794746
0.314,1.9849370755451685
0.315,1.987544421606011
0.316,1.9901595504538958
0.317,1.99278245461018
0.318,1.995413126525221
0.319,1.9980515585779137
0.320,2.000697743075224
0.321,2.003351672251725
0.322,2.006013338269126
0.323,2.008682733215806
0.324,2.0113598491063436
0.325,2.014044677881043
0.326,2.0167372114054642
0.327,2.0194374414699476
0.328,2.022145359789139
0.329,2.024860958001514
0.330,2.0275842276688993
0.331,2.0303151602759955
0.332,2.0330537472298964
0.333,2.0357999798596085
0.334,2.0385538494155693
0.335,2.0413153470691636
0.336,2.044084463912241
0.337,2.046861190956629
0.338,2.0496455191336485
0.339,2.0524374392936258
0.340,2.055236942205405
0.341,2.0580440185558597
0.342,2.060858658949402
0.343,2.0636808539074925
0.344,2.06651059386815
0.345,2.069347869185456
0.346,2.072192670129066
0.347,2.0750449868837113
0.348,2.0779048095487074
0.349,2.0807721281374567
0.350,2.083646932576954
0.351,2.08652921270729
0.352,2.0894189582811515
0.353,2.092316158963326
0.354,2.0952208043302027
0.355,2.0981328838692734
0.356,2.1010523869786333
0.357,2.10397930296648
0.358,2.1069136210506154
0.359,2.109855330357943
0.360,2.1128044199239673
0.361,2.1157608786922935
0.362,2.1187246955141243
0.363,2.12169585914776
0.364,2.1246743582580945
0.365,2.1276601814161142
0.366,2.130653317098396
0.367,2.133653753686604
0.368,2.1366614794669876
0.369,2.1396764826298793
0.370,2.1426987512691924
0.371,2.145728273381918
0.372,2.148765036867624
0.373,2.1518090295279526
0.374,2.154860239066119
0.375,2.15791865308641
0.376,2.160984259093682
0.377,2.1640570444928633
0.378,2.1671369965884506
0.379,2.170224102584011
0.380,2.1733183495816832
0.381,2.176419724581678
0.382,2.1795282144817807
0.383,2.1826438060768547
0.384,2.1857664860583443
0.385,2.1888962410137793
0.386,2.192033057426281
0.387,2.195176921674067
0.388,2.1983278200299594
0.389,2.2014857386608933
0.390,2.204650663627426
0.391,2.2078225808832466
0.392,2.2110014762746895
0.393,2.2141873355402457
0.394,2.2173801443100793
0.395,2.2205798881055414
0.396,2.223786552338688
0.397,2.2270001223118006
0.398,2.230220583216904
0.399,2.233447920135292
0.400,2.2366821180370473
0.401,2.2399231617805713
0.402,2.2431710361121096
0.403,2.2464257256652824
0.404,2.2496872149606166
0.405,2.252955488405079
0.406,2.2562305302916132
0.407,2.259512324798678
0.408,2.262800855989788
0.409,2.266096107813056
0.410,2.269398064100741
0.411,2.272706708568794
0.412,2.2760220248164114
0.413,2.279343996325586
0.414,2.282672606460666
0.415,2.2860078384679134
0.416,2.289349675475067
0.417,2.2926981004909073
0.418,2.296053096404826
0.419,2.2994146459863973
0.420,2.302782731884954
0.421,2.306157336629166
0.422,2.3095384426266223
0.423,2.3129260321634173
0.424,2.3163200874037404
0.425,2.3197205903894695
0.426,2.3231275230397674
0.427,2.326540867150684
0.428,2.3299606043947625
0.429,2.333386716320646
0.430,2.3368191843526938
0.431,2.3402579897905986
0.432,2.3437031138090094
0.433,2.3471545374571576
0.434,2.3506122416584905
0.435,2.3540762072103054
0.436,2.357546414783393
0.437,2.361022844921682
0.438,2.364505478041892
0.439,2.367994294433189
0.440,2.3714892742568456
0.441,2.3749903975459117
0.442,2.3784976442048826
0.443,2.3820109940093803
0.444,2.3855304266058357
0.445,2.3890559215111775
0.446,2.392587458112529
0.447,2.3961250156669074
0.448,2.3996685733009326
0.449,2.40321811001054
0.450,2.4067736046607
0.451,2.4103350359851445
0.452,2.4139023825860995
0.453,2.4174756229340235
0.454,2.4210547353673553
0.455,2.4246396980922644
0.456,2.428230489182412
0.457,2.431827086578718
0.458,2.4354294680891337
0.459,2.4390376113884233
0.460,2.442651494017953
0.461,2.446271093385486
0.462,2.4498963867649866
0.463,2.4535273512964313
0.464,2.4571639639856273
0.465,2.46080620170404
0.466,2.464454041188627
0.467,2.4681074590416827
0.468,2.471766431730688
0.469,2.4754309355881716
0.470,2.4791009468115752
0.471,2.482776441463133
0.472,2.486457395469756
0.473,2.4901437846229264
0.474,2.4938355845785996
0.475,2.4975327708571164
0.476,2.5012353188431256
0.477,2.504943203785512
0.478,2.5086564007973378
0.479,2.512374884855791
0.480,2.5160986308021442
0.481,2.5198276133417217
0.482,2.5235618070438792
0.483,2.5273011863419903
0.484,2.5310457255334446
0.485,2.5347953987796554
0.486,2.538550180106079
0.487,2.5423100434022396
0.488,2.546074962421772
0.489,2.5498449107824674
0.490,2.553619861966335
0.491,2.557399789319671
0.492,2.56118466605314
0.493,2.564974465241867
0.494,2.5687691598255404
0.495,2.572568722608525
0.496,2.5763731262599876
0.497,2.5801823433140334
0.498,2.5839963461698527
0.499,2.5878151070918802
0.500,2.591638598209966
0.501,2.5954667915195566
0.502,2.5992996588818893
0.503,2.603137172024197
0.504,2.6069793025399255
0.505,2.610826021888963
0.506,2.6146773013978812
0.507,2.6185331122601885
0.508,2.6223934255365946
0.509,2.626258212155289
0.510,2.6301274429122303
0.511,2.6340010884714493
0.512,2.6378791193653623
0.513,2.6417615059951
0.514,2.645648218630844
0.515,2.649539227412184
0.516,2.653434502348479
0.517,2.6573340133192365
0.518,2.661237730074503
0.519,2.6651456222352676
0.520,2.6690576592938786
0.521,2.6729738106144727
0.522,2.676894045433417
0.523,2.6808183328597646
0.524,2.6847466418757246
0.525,2.6886789413371424
0.526,2.6926151999739942
0.527,2.6965553863908975
0.528,2.70049946906763
0.529,2.704447416359666
0.530,2.708399196498724
0.531,2.7123547775933283
0.532,2.716314127629384
0.533,2.7202772144707645
0.534,2.724244005859914
0.535,2.7282144694184627
0.536,2.7321885726478543
0.537,2.73616628292999
0.538,2.7401475675278824
0.539,2.744132393586325
0.540,2.748120728132575
0.541,2.7521125380770486
0.542,2.756107790214032
0.543,2.760106451222403
0.544,2.7641084876663675
0.545,2.768113865996211
0.546,2.772122552549059
0.547,2.7761345135496573
0.548,2.78014971511116
0.549,2.7841681232359328
0.550,2.7881897038163723
0.551,2.7922144226357335
0.552,2.796242245368975
0.553,2.800273137583615
0.554,2.8043070647406028
0.555,2.8083439921952005
0.556,2.8123838851978795
0.557,2.816426708895231
0.558,2.820472428330887
0.559,2.8245210084464567
0.560,2.8285724140824753
0.561,2.8326266099793638
0.562,2.8366835607784044
0.563,2.840743231022726
0.564,2.8448055851583045
0.565,2.848870587534974
0.566,2.852938202407451
0.567,2.8570083939363737
0.568,2.8610811261893474
0.569,2.8651563631420083
0.570,2.8692340686790963
0.571,2.8733142065955413
0.572,2.8773967405975593
0.573,2.8814816343037637
0.574,2.8855688512462843
0.575,2.889658354871902
0.576,2.893750108543192
0.577,2.89784407553968
0.578,2.901940219059009
0.579,2.9060385022181174
0.580,2.9101388880544286
0.581,2.9142413395270506
0.582,2.9183458195179877
0.583,2.9224522908333617
0.584,2.9265607162046443
0.585,2.9306710582898994
0.586,2.934783279675036
0.587,2.9388973428750704
0.588,2.943013210335401
0.589,2.9471308444330893
0.590,2.9512502074781524
0.591,2.955371261714865
0.592,2.95949396932307
0.593,2.963618292419501
0.594,2.967744193059108
0.595,2.971871633236399
0.596,2.976000574886785
0.597,2.9801309798879347
0.598,2.98426281006114
0.599,2.988396027172687
0.600,2.9925305929352346
0.601,2.9966664690092033
0.602,3.0008036170041703
0.603,3.0049419984802714
0.604,3.009081574949611
0.605,3.013222307877679
0.606,3.0173641586847744
0.607,3.021507088747434
0.608,3.025651059399872
0.609,3.0297960319354202
0.610,3.033941967607978
